review_id,farm_name,normalized_name,decision,evidence_grade,verified_entity_type,county_equivalent,city,postal_code,products,business_types,website_url,source_url,retrieved_date,decision_basis,notes,target_normalized_name,exclusion_reason,supersedes_review_id
qa-judgment-20260717-tn-1991b83b73,Rocky Top Farm,rocky top farm,distinct,B,farm,Blount,Maryville,37801,Cut Flowers; Blueberries; Apples; Nuts; Peaches; Pears; Fruits Others; Pecans,Pick Tennessee Products member,,https://www.picktnproducts.org/picktn-producers/picktn-listing.3003.html,2026-07-17,"The retained source record places Rocky Top Farm in Blount / Maryville; the peer entity set is TN-6305371163 (Cumberland, Crossville). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
qa-judgment-20260717-tn-6305371163,Rocky Top Farm,rocky top farm,distinct,B,farm,Cumberland,Crossville,38571,Custom Beef; Retail Beef,Pick Tennessee Products member,https://www.rockytopfarmtn.com/,https://www.picktnproducts.org/picktn-producers/picktn-listing.1353.html,2026-07-17,"The retained source record places Rocky Top Farm in Cumberland / Crossville; the peer entity set is TN-1991B83B73 (Blount, Maryville). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
qa-judgment-20260717-tn-58638d6c01,Galena Garlic Company,galena garlic,distinct,C,farm,Fentress,Clarkrange,,Active Members; Barn Sales; East Region; Fall; Farm Animals; Farm-to-Table Dinners; Farmers' Markets; Festivals; Fishing; Gardens & Nurseries; Group Tours & School Field Trips; Pick-Your-Own; Produce; Spring; Summer; Winter,Agritourism farm,https://gmpg.org/xfn/11,https://tennesseeagritourism.org/galena-garlic-company,2026-07-17,"The retained source record places Galena Garlic Company in Fentress / Clarkrange; the peer entity set is TN-AEAA037FA2 (Davidson, Nashville). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
qa-judgment-20260717-tn-f94b02b3d4,Green Acres Farm,green acres farm,distinct,B,farm,Fentress,Clarkrange,38553,Blueberries; You pick Blueberries,Pick Tennessee Products member,,https://www.picktnproducts.org/picktn-producers/picktn-listing.2921.html,2026-07-17,"The retained source record places Green Acres Farm in Fentress / Clarkrange; the peer entity set is TN-3C380E90FA (Gibson, Milan). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
qa-judgment-20260717-tn-3c380e90fa,Green Acres Farm,green acres farm,distinct,B,farm,Gibson,Milan,38358,Active Members; April; Fall; Fun Farm Attractions; May; November; October; Pick-Your-Own; Pumpkin Patch; September; Spring; Summer; West Region; Corn and Hay Mazes; Pumpkin Patches; Strawberries; Pumpkins; Squash Winter,Agritourism farm; Pick Tennessee Products member,https://www.greenacresmilan.com/,https://tennesseeagritourism.org/green-acres-farm,2026-07-17,"The retained source record places Green Acres Farm in Gibson / Milan; the peer entity set is TN-F94B02B3D4 (Fentress, Clarkrange). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
qa-judgment-20260717-tn-9d9858021d,Cameron Farms,cameron farms,distinct,B,farm,Grainger,Rutledge,37861,Beans; Cucumbers; Peppers; Squash Summer; Tomatoes,Pick Tennessee Products member,,https://www.picktnproducts.org/picktn-producers/picktn-listing.3655.html,2026-07-17,"The retained source record places Cameron Farms in Grainger / Rutledge; the peer entity set is TN-5D880C9326 (Jefferson, White Pine). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
qa-judgment-20260717-tn-a818af22ce,J&J FARM,j and j farm,distinct,B,farm,Hawkins,Church Hill,37642,Cantaloupes; Strawberries; Watermelons; Beans; Corn; Cucumbers; Pumpkins; Radishes; You pick Strawberries,Pick Tennessee Products member,,https://www.picktnproducts.org/picktn-producers/picktn-listing.16579.html,2026-07-17,"The retained source record places J&J FARM in Hawkins / Church Hill; the peer entity set is TN-068F82173E (Henderson, Lexington). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
qa-judgment-20260717-tn-068f82173e,J & J Farm,j and j farm,distinct,B,farm,Henderson,Lexington,38351,Farm Tours; School Tours; Custom Lamb; Custom Pork; Custom Poultry; Custom Beef; Retail Beef; Retail Processed and Packaged Meats; Retail Lamb; Retail Pork; Eggs,Pick Tennessee Products member,http://www.j-jfarm.com,https://www.picktnproducts.org/picktn-producers/picktn-listing.3164.html,2026-07-17,"The retained source record places J & J Farm in Henderson / Lexington; the peer entity set is TN-A818AF22CE (Hawkins, Church Hill). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
qa-judgment-20260717-tn-60e0eb07f5,Ross Farms,ross farms,distinct,B,farm,Humphreys,Waverly,37185,Annual Grower; Mums; Perennial Grower; Vegetable Plants; Christmas Trees; Watermelons; Beans; Beets; Cabbage; Cucumbers; Eggplant; Okra; Peas; Peppers; Pumpkins; Squash Summer; Squash Winter; Tomatoes; Turnip Greens; Pre Cut,Pick Tennessee Products member,,https://www.picktnproducts.org/picktn-producers/picktn-listing.18082.html,2026-07-17,"The retained source record places Ross Farms in Humphreys / Waverly; the peer entity set is TN-8759135B93 (Obion, Hornbeak). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
qa-judgment-20260717-tn-5d880c9326,Cameron Farms,cameron farms,distinct,B,farm,Jefferson,White Pine,37890,Custom Beef; Custom Pork; Eggs,Pick Tennessee Products member,,https://www.picktnproducts.org/picktn-producers/picktn-listing.27926.html,2026-07-17,"The retained source record places Cameron Farms in Jefferson / White Pine; the peer entity set is TN-9D9858021D (Grainger, Rutledge). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
