review_id,farm_name,normalized_name,decision,evidence_grade,verified_entity_type,county,city,postal_code,products,business_types,website_url,source_url,retrieved_date,decision_basis,notes
txreview_20260715_001,Agarita Hills Ranch Llc,agarita hills ranch,corroborate,C,farm,Hays,Dripping Springs,78620,Texas native and heirloom plants; nursery crops,Small farm; native-plant grower,https://www.agaritahillsranch.com,https://www.agaritahillsranch.com/,2026-07-15,"Farm-owned site identifies a small woman-owned grower and micro-ranch in the Dripping Springs area, with plants grown on the ranch; the City of Dripping Springs identifies Dripping Springs as Hays County.",County is a safe service-area classification rather than a published street-address assertion.
txreview_20260715_002,Wylie Urban Farm And Market,wylie urban farm and market,corroborate,C,farm,Collin,Wylie,75098,Fresh produce; organic produce,Community urban farm co-op; direct-to-consumer market,https://www.wylieurbanfarmcoop.com,https://www.brandoniker.com/projects/wylie-urban-farm-market,2026-07-15,"The project founder describes the co-op as a community urban farm that transforms unused land into productive growing spaces and grows and distributes fresh organic produce.",The storefront is also a sales channel; the retained entity is the co-op's producing operation.
txreview_20260715_003,Qf Seasoning Company,qf seasoning company,corroborate,C,farm,Henderson,LaRue,75770,Wagyu beef; choice beef; grass-fed and grain-finished cattle,Cattle farm; direct-to-consumer beef,https://www.fcfarmtotable.com,https://www.fcfarmtotable.com/,2026-07-15,"The farm-owned FC Farm to Table site states that the LaRue operation raises cattle and sells Wagyu and choice beef; this resolves the business-name conflict in the GO TEXAN record.",Public-facing name reconciliation with FC Farm to Table remains a future identity-quality improvement.
txreview_20260715_004,Bastrop 1832 Farmers Market,bastrop 1832 farmers market,exclude,F,market,Bastrop,Bastrop,78602,Farmers market; multi-vendor local products,Certified farmers market,https://bastrop1832farmersmarket.com,https://bastrop1832farmersmarket.com/,2026-07-15,"The market-owned site and Texas local-food profile describe a multi-vendor farmers market, not one farm operation.",Excluded from the farm entity set; retain as possible future channel infrastructure.
txreview_20260715_005,Hillsboro Farmers Market,hillsboro farmers market,exclude,F,market,Hill,Hillsboro,76645,Farmers market; multi-vendor local products,Farmers market,,https://texaslocalfood.org/tclf-partner/hillsboro-farmers-market/,2026-07-15,"The current Texas Center for Local Food profile describes a market with approximately ten local farmers and other producers, not one farm operation.",Excluded from the farm entity set; retain as possible future channel infrastructure.
txreview_20260715_006,Etx Legends Coffee Co,etx legends coffee co,exclude,F,processor,Smith,Tyler,75703,Roasted coffee; tea,Coffee roaster,https://www.coffeecityusa.com,https://www.coffeecityusa.com/,2026-07-15,"The business-owned site describes Arabica coffee roasting and tea blending; it does not claim a Texas coffee-growing farm operation.",Excluded as a processor/roaster under the current farm inclusion boundary.
txreview_20260715_007,Cowpuncher Coffee Llc,cowpuncher coffee,exclude,F,processor,Upshur,Gilmer,75644,Roasted coffee,Coffee roaster,https://www.cowpunchercoffee.com,https://cowpunchercoffee.com/pages/about,2026-07-15,"The business-owned site describes small-batch roasting of Arabica beans and identifies foreign origins for products; it does not claim a Texas coffee-growing farm operation.",Excluded as a processor/roaster under the current farm inclusion boundary.
txreview_20260715_008,Hill Country Grains,hill country grains,exclude,F,agricultural_supplier,Mason,Fredonia,76842,Animal feed; deer corn; custom grain mixes,Agricultural supplier; feed processor,https://fredoniapeanut.com,https://business.masontx.org/directory/Details/fredonia-peanut-company-3753952,2026-07-15,"The Mason County Chamber profile identifies Hill Country Grains as a Fredonia Peanut Company subsidiary specializing in cleaned and bagged deer corn, custom mixes, and small grains, not a farm operation.",Excluded as an agricultural supplier/processor under the current farm inclusion boundary.
txreview_20260715_009,Power Pipe And Tank Llc,power pipe and tank,exclude,F,manufacturer,Potter,Amarillo,79110,Fiberglass tanks,Fiberglass manufacturer,https://www.powerpipeandtank.com,https://powerpipeandtank.com/about-us/,2026-07-15,"The company-owned site identifies an Amarillo manufacturing plant producing fiberglass tanks; no farm operation is claimed.",Excluded as a manufacturer; the GO TEXAN Farm And Ranch classification is a source-category false positive.
txreview_20260715_010,Cedar Ridge Farms,cedar ridge farms,corroborate,C,farm,Hopkins,Pickton,75471,Pasture-raised eggs,Egg farm; pasture-raised poultry,,https://www.farmtotabletx.com/our-products/dairy-eggs/,2026-07-15,"A current Texas farm-to-table distributor profile identifies Sam Miller's Cedar Ridge Farms in Pickton as a local family farm producing pasture-raised eggs; the source address was 12575 Farm Road 269 S, not ZIP 12575.",The corrected 75471 ZIP and Hopkins County service area resolve a source-field parsing error.
